Victory,949,Syndra,Graves,Fizz,Kassadin,Jayce,Shen,Skarner,Cho'Gath,Jarvan IV,Fiora
Defeat,1221,Zoe,Pantheon,Malphite,Pyke,Lucian,Veigar,Swain,Lee Sin,Singed,Master Yi
Defeat,1264,Caitlyn,Skarner,Aurelion Sol,Brand,Taliyah,Vayne,Talon,Morgana,Nunu & Willump,Warwick
Defeat,1059,Thresh,Soraka,Vayne,Kennen,Volibear,Xerath,Lissandra,Morgana,Kalista,Sona
Defeat,842,Anivia,Viktor,Draven,Annie,Zyra,Xerath,Fiddlesticks,Kai'Sa,Darius,Sion
Victory,1157,Singed,Katarina,Azir,Trundle,Lucian,Nami,Rumble,Miss Fortune,Xin Zhao,LeBlanc
Victory,1122,Lee Sin,Singed,Pantheon,Malzahar,Renekton,LeBlanc,Jinx,Anivia,Miss Fortune,Lucian
Defeat,1179,Jax,Blitzcrank,Kayle,Pantheon,Pyke,Cassiopeia,Veigar,Garen,Sivir,LeBlanc
Victory,845,Irelia,Fiddlesticks,Sivir,Vayne,Katarina,Galio,Rakan,Jayce,Talon,Pyke
Victory,888,Maokai,Malzahar,Viktor,Jayce,Karthus,Nidalee,Veigar,Nautilus,Bard,Draven
Defeat,822,Azir,Ryze,Malphite,Jarvan IV,Darius,Brand,Zed,Nasus,Caitlyn,Nidalee
Victory,1067,Riven,Corki,Zyra,Dr. Mundo,Annie,Irelia,Lux,Teemo,Brand,Galio
Defeat,1737,Jarvan IV,Akali,Volibear,Heimerdinger,Lux,Nunu & Willump,Rakan,Brand,Kalista,Fizz
Defeat,1167,Rengar,Darius,Maokai,Ashe,Camille,Fizz,Nasus,Lucian,Udyr,Thresh
Defeat,777,Lucian,Vayne,Swain,Leona,Gragas,Anivia,Malphite,Orianna,Nidalee,Sivir
Victory,1075,LeBlanc,Veigar,Nidalee,Kog'Maw,Morgana,Thresh,Ekko,Urgot,Ryze,Caitlyn
Victory,956,Karma,Vel'Koz,Amumu,Jinx,Karthus,Fizz,Vladimir,Twitch,Janna,Azir
Defeat,1370,Teemo,Elise,Nami,Zac,Lucian,Kayle,Kog'Maw,Heimerdinger,Aurelion Sol,Viktor
Victory,1473,Kai'Sa,Mordekaiser,Miss Fortune,Karthus,Orianna,Zyra,Kog'Maw,Ashe,Nunu & Willump,Corki
Defeat,1368,Ezreal,Janna,Thresh,Cassiopeia,Xayah,Fiora,Braum,Brand,Darius,Lux
Defeat,1692,Ziggs,Riven,Varus,Katarina,Garen,Pyke,Vel'Koz,Vladimir,Aurelion Sol,Quinn
Defeat,976,Cassiopeia,Quinn,Azir,Caitlyn,Ekko,Brand,Taliyah,Fiddlesticks,Rengar,Thresh
Victory,1255,Nunu & Willump,Sion,Rammus,Master Yi,Jhin,Draven,Jinx,Xayah,Maokai,Blitzcrank
Defeat,1003,Rengar,Galio,Hecarim,Malphite,Kog'Maw,Viktor,Anivia,Kai'Sa,Xayah,Ahri
Defeat,1393,Taric,Twitch,Ashe,Sivir,Heimerdinger,Miss Fortune,Soraka,Orianna,Azir,Rammus
Defeat,1175,Yasuo,Kayle,Nocturne,Kha'Zix,Galio,Blitzcrank,Teemo,Garen,Brand,Fizz
Victory,773,Ezreal,Gangplank,Nasus,Janna,Ashe,Illaoi,Karma,Jarvan IV,Poppy,Jinx
Defeat,1113,Ahri,Poppy,Master Yi,Kennen,Viktor,Vladimir,Garen,Urgot,Brand,Blitzcrank
Victory,1507,Xin Zhao,Kayn,Ziggs,Rakan,Fizz,Irelia,Ezreal,Amumu,Tristana,Tahm Kench
Victory,588,Sivir,Urgot,Graves,Lux,Vayne,Miss Fortune,Dr. Mundo,LeBlanc,Lee Sin,Irelia
Victory,1524,Zed,Syndra,Sivir,Ziggs,Xerath,Rakan,Fiddlesticks,Tristana,Fizz,Poppy
Defeat,1759,Syndra,Twisted Fate,Zoe,Pyke,Ziggs,Ashe,Urgot,Brand,Kog'Maw,Kayle
Victory,2368,Zilean,Draven,Annie,Wukong,Xayah,Yasuo,Twisted Fate,Lux,Ryze,Taliyah
Defeat,2003,Poppy,Lissandra,Xin Zhao,Ziggs,Pyke,Ahri,Orianna,Jayce,Leona,Teemo
Defeat,1221,Veigar,Corki,Karma,Tristana,Lux,Brand,Vladimir,Dr. Mundo,Caitlyn,Malphite
Defeat,1728,Nasus,Rumble,Kindred,Veigar,Bard,Amumu,Yasuo,Shaco,Brand,Zed
Defeat,998,Ryze,Shaco,Cassiopeia,Kalista,Garen,Zilean,Vel'Koz,Lulu,Tristana,Nidalee
Victory,1291,Teemo,Rakan,Gangplank,Fiddlesticks,Kog'Maw,Brand,Nautilus,Evelynn,Syndra,Ezreal
