Victory,1203,Ryze,Fizz,Zyra,Gangplank,Vayne,Illaoi,Rammus,Alistar,Blitzcrank,Urgot
Defeat,896,Ahri,Malzahar,Syndra,Akali,Rammus,Gnar,Taliyah,Sona,Twisted Fate,Jinx
Victory,1038,Braum,Twitch,Morgana,Zed,Xayah,Lissandra,Bard,Lucian,Kai'Sa,Heimerdinger
Victory,1207,Kog'Maw,Ziggs,Karthus,Kassadin,Draven,Aurelion Sol,Diana,Nautilus,Xerath,Karma
Defeat,1159,Ryze,Twisted Fate,Zilean,Pyke,Nautilus,Ashe,Braum,Sivir,Karthus,Evelynn
Victory,1599,Sivir,Jhin,Poppy,Kai'Sa,Zilean,Miss Fortune,Soraka,Zed,Kha'Zix,Ahri
Victory,1048,Ahri,Twisted Fate,Kai'Sa,Azir,Miss Fortune,Pyke,Blitzcrank,Darius,Kalista,Jinx
Victory,1217,Ashe,Zilean,Vayne,Illaoi,Nami,Aurelion Sol,Wukong,Akali,Fiddlesticks,Jarvan IV
Victory,949,Lux,Galio,Vel'Koz,Riven,Orianna,Blitzcrank,Syndra,Ryze,Annie,Vi
Defeat,1143,Zoe,Taliyah,Lux,Xayah,Kha'Zix,Thresh,Fizz,Jinx,Mordekaiser,Ahri
Victory,949,Thresh,Annie,Varus,Aatrox,Sona,Vayne,Teemo,Dr. Mundo,Zed,Kog'Maw
Defeat,1137,Taliyah,Soraka,Shen,Ryze,Thresh,Yasuo,Ezreal,Kai'Sa,Swain,Braum
Defeat,1018,Ryze,Darius,Diana,Sejuani,Morgana,Xerath,Vayne,Leona,Rumble,Dr. Mundo
Victory,1223,Jhin,Quinn,Zac,Bard,Caitlyn,Akali,Ekko,Sion,Orianna,Draven
Defeat,1460,Skarner,Zilean,Irelia,Xerath,Cho'Gath,Jax,Kassadin,Illaoi,Aurelion Sol,Fizz
Victory,1325,Ziggs,Veigar,Swain,Soraka,Ashe,Ezreal,Nami,Varus,Karthus,Lucian
Defeat,744,Ryze,Twisted Fate,Rengar,Darius,LeBlanc,Alistar,Thresh,Twitch,Kayle,Sona
Victory,797,Morgana,Nunu & Willump,Diana,Volibear,Leona,Quinn,Tristana,Xerath,Pyke,Yasuo
Defeat,1323,Sivir,Xin Zhao,Twitch,Kassadin,Zyra,Aurelion Sol,Blitzcrank,Annie,Karma,Jhin
Victory,1132,Sivir,Zyra,LeBlanc,Irelia,Garen,Kha'Zix,Thresh,Brand,Anivia,Vel'Koz
Defeat,1595,Veigar,Zyra,Jayce,Zac,Malphite,Gnar,Xerath,Singed,Rengar,Kalista
Victory,1236,Singed,Taric,Brand,Tryndamere,Taliyah,Caitlyn,Jhin,Malphite,Xin Zhao,Katarina
Victory,1398,Ryze,Jax,Ornn,Illaoi,Viktor,Tristana,Twisted Fate,Jarvan IV,Nidalee,Zyra
Defeat,1549,Jinx,Vladimir,Braum,Lissandra,Jax,Viktor,Shaco,Ezreal,Caitlyn,Poppy
Defeat,883,Cho'Gath,Sion,Janna,Garen,Ahri,Quinn,Sona,Vayne,Ekko,Kennen
Victory,763,Viktor,Sona,Trundle,Lux,Xerath,Lissandra,Kog'Maw,Lee Sin,Ahri,Yasuo
Victory,1599,Graves,Thresh,Garen,Master Yi,Karma,Miss Fortune,Ryze,Quinn,Fizz,Cassiopeia
Victory,642,Braum,Sion,Ziggs,Nami,Tristana,Kai'Sa,Taliyah,Kayn,Vladimir,Lulu
Victory,1007,Viktor,Orianna,Nami,Swain,Brand,Galio,Kayle,Zoe,Tristana,Lucian
